;;;;;;;;;;;;;;;;;;;;;;;;
Famille;Brand;juin-08;juil.-08;août-08;sept.-08;oct.-08;nov.-08;déc.-08;janv.-09;févr.-09;mars-09;avr.-09;mai-09;TOTAL;demande moyenne;Niveau de service;Temps de Transport (jours);Temps de procès (jours);Délai de livraison (jours);Périodicité de commande (jours);Stock de sécurité (TN);couverture (semaine);Niveau de recomplétement (TN);Stock d'alerte (TN)
14*10 sachets;Sucre Vanille; 0,49   ; 2,19   ; 0,66   ; 3,78   ;-0,02   ;-0,03   ;-0,41   ; 0,96   ; 0,94   ; 1,42   ; 0,82   ; 1,71   ; 12,51   ; 1,04   ;95%;1;0,5;2;15;0,59;2,28;1,48; 0,70   
25ml;Close up; 0,06   ; 0,21   ; 1,31   ; 0,84   ; 1,48   ; 1,08   ; 0,66   ; 0,83   ; 0,75   ; 0,89   ; 2,86   ; 1,03   ; 11,98   ; 1,00   ;95%;1;0,5;2;15;0,37;1,48;1,22; 0,47   
75ml;Sunsilk huile; 2,07   ; 1,13   ; 0,75   ; 0,50   ; 0,26   ; 0,80   ; 0,72   ; 2,77   ; 0,49   ; 0,15   ; 0,11   ; 1,81   ; 11,54   ; 0,96   ;95%;1;0,5;2;15;0,44;1,81;1,25; 0,53   
50ml;Close up; 0,17   ;-0,19   ; 0,49   ; 1,03   ; 1,01   ; 1,02   ; 0,67   ; 0,46   ; 0,77   ; 1,86   ; 1,78   ; 2,26   ; 11,33   ; 0,94   ;95%;1;0,5;2;15;0,37;1,59;1,18; 0,47   
Box 5 Kg;Skipls; 2,00   ; 3,17   ;-0,18   ; 0,36   ; 0,20   ;-0,89   ; 1,45   ; 1,19   ; 0,45   ; 1,41   ; 0,92   ; 1,09   ; 11,15   ; 0,93   ;95%;1;0,5;2;15;0,55;2,37;1,34; 0,64   
160ml;Axe; 0,62   ; 0,98   ; 1,10   ; 1,48   ; 1,23   ; 0,80   ; 0,78   ; 0,66   ; 0,80   ; 0,73   ; 0,44   ; 1,16   ; 10,79   ; 0,90   ;95%;1;0,5;2;15;0,15;0,69;0,92; 0,24   
200ml;Dove shmp; 0,13   ; 0,19   ; 2,29   ;-0,27   ; 1,35   ; 1,49   ; 0,73   ; 1,45   ; 0,88   ; 0,79   ; 0,88   ; 0,71   ; 10,61   ; 0,88   ;95%;1;0,5;2;15;0,36;1,64;1,11; 0,45   
Flan;Flan; 0,34   ; 1,95   ; 4,41   ; 3,02   ; 0,17   ;-0,07   ; 0,21   ; 0,12   ; 0,06   ; 0,07   ; 0,12   ; 0,15   ; 10,55   ; 0,88   ;95%;1;0,5;2;15;0,76;3,45;1,50; 0,85   
250ml;Dove Crm; 0,03   ; 1,76   ; 0,04   ; 1,57   ; 1,13   ; 0,94   ; 0,73   ; 0,18   ; 1,20   ; 0,85   ; 1,19   ; 0,90   ; 10,53   ; 0,88   ;95%;1;0,5;2;15;0,29;1,33;1,04; 0,38   
Big nose;F&L;-0,00   ; 1,29   ; 0,65   ; 0,17   ; 0,49   ; 0,04   ; 0,92   ; 0,85   ; 3,06   ; 0,82   ; 1,29   ; 0,33   ; 9,91   ; 0,83   ;95%;1;0,5;2;15;0,43;2,09;1,13; 0,51   
100 sachets;Lipton Noir; 0,69   ; 0,08   ; 0,74   ; 0,27   ; 0,27   ; 0,70   ; 0,78   ; 1,55   ; 0,20   ; 0,56   ; 0,05   ; 2,98   ; 8,87   ; 0,74   ;95%;1;0,5;2;15;0,43;2,31;1,05; 0,50   
5ml;Dove shmp; 0,05   ; 0,02   ; 2,71   ;-0,22   ; 1,55   ; 1,78   ; 1,43   ; 1,66   ; 0,25   ;-1,36   ; 0,12   ;-0,49   ; 7,50   ; 0,63   ;95%;1;0,5;2;15;0,61;3,92;1,14; 0,67   
25grs;F&L; 0,07   ;-0,00   ;-0,01   ; 0,28   ; 1,01   ; 0,29   ; 2,26   ;-0,51   ; 0,77   ; 1,28   ; 0,45   ; 0,72   ; 6,60   ; 0,55   ;95%;1;0,5;2;15;0,38;2,76;0,85; 0,43   
S215g;Skiphs; 0,43   ; 1,87   ; 0,05   ; 0,05   ;;-0,02   ;;; 2,85   ; 0,14   ; 0,03   ; 0,01   ; 5,41   ; 0,60   ;95%;1;0,5;2;15;0,54;3,58;1,05; 0,60   
25 Sachets;Lipton Noir; 0,90   ; 0,19   ; 0,84   ; 0,70   ; 0,53   ; 0,73   ; 1,22   ;;;;;; 5,11   ; 0,73   ;95%;1;0,5;2;15;0,17;0,91;0,79; 0,24   
50grs;Dove deo; 0,10   ; 0,67   ; 0,23   ; 0,17   ; 0,47   ; 0,70   ; 0,26   ; 0,16   ; 0,14   ; 0,27   ; 0,44   ; 0,24   ; 3,86   ; 0,32   ;95%;1;0,5;2;15;0,11;1,32;0,38; 0,14   
75grs;Lifebuoys;; 2,99   ; 0,09   ;-0,82   ; 0,24   ; 0,33   ; 0,26   ; 0,13   ; 0,19   ; 0,05   ; 0,09   ; 0,18   ; 3,72   ; 0,34   ;95%;1;0,5;2;15;0,48;5,73;0,77; 0,52   
250ml;Rexona;; 0,67   ; 0,11   ; 0,01   ;-0,03   ;-0,01   ; 0,33   ; 1,22   ; 0,08   ; 0,19   ; 0,12   ; 0,52   ; 3,21   ; 0,29   ;95%;1;0,5;2;15;0,20;2,72;0,45; 0,23   
Mousse;Etoui; 0,41   ; 0,40   ; 1,16   ;-0,78   ; 0,15   ;-0,10   ; 0,30   ; 0,69   ; 0,13   ; 0,33   ; 0,31   ; 0,08   ; 3,07   ; 0,26   ;95%;1;0,5;2;15;0,24;3,73;0,46; 0,26   
175ml;Rexona; 0,01   ; 0,45   ; 0,03   ;-0,19   ; 0,30   ; 0,59   ; 0,22   ; 0,19   ; 0,22   ; 0,36   ; 0,26   ; 0,38   ; 2,83   ; 0,24   ;95%;1;0,5;2;15;0,11;1,87;0,31; 0,13   
450 grs;Maizena; 0,18   ; 0,20   ; 1,51   ;-0,56   ; 0,22   ;-0,51   ; 0,08   ; 0,47   ; 0,14   ; 0,24   ; 0,29   ; 0,55   ; 2,80   ; 0,23   ;95%;1;0,5;2;15;0,27;4,65;0,47; 0,30   
120ml;Sunsilk creme;;;;; 0,02   ; 0,26   ; 0,36   ; 0,28   ; 0,31   ; 0,38   ; 0,39   ; 0,44   ; 2,44   ; 0,31   ;95%;1;0,5;2;15;0,07;0,88;0,33; 0,10   
400ml;Clearshmp;-0,01   ; 0,08   ; 0,00   ; 0,37   ; 0,05   ; 0,18   ; 0,12   ; 0,04   ; 0,10   ; 0,27   ; 0,60   ; 0,64   ; 2,43   ; 0,20   ;95%;1;0,5;2;15;0,12;2,30;0,29; 0,14   
250ml;Dove gel; 0,05   ; 0,07   ; 1,26   ;-0,85   ; 0,24   ; 0,17   ; 0,17   ; 0,19   ; 0,14   ; 0,29   ; 0,22   ; 0,29   ; 2,24   ; 0,19   ;95%;1;0,5;2;15;0,24;5,07;0,40; 0,26   
Sucre Aromatisé;Sucre Aromatisé; 0,03   ; 0,12   ; 0,51   ; 0,21   ; 0,11   ; 0,07   ; 0,09   ; 0,10   ; 0,35   ; 0,28   ; 0,09   ; 0,18   ; 2,14   ; 0,18   ;95%;1;0,5;2;15;0,07;1,63;0,22; 0,09   
Potage;Soupe; 0,09   ; 0,08   ; 0,30   ; 0,03   ; 0,13   ; 0,28   ; 0,20   ; 0,22   ; 0,24   ; 0,17   ; 0,17   ; 0,15   ; 2,06   ; 0,17   ;95%;1;0,5;2;15;0,04;0,98;0,19; 0,06   
500ml;Dove gel;;;; 0,98   ;-0,67   ; 0,79   ; 0,27   ; 0,29   ; 0,16   ; 0,05   ; 0,00   ; 0,06   ; 1,93   ; 0,21   ;95%;1;0,5;2;15;0,25;4,61;0,43; 0,27   
180 cubes;SEAS; 0,25   ; 0,73   ; 0,75   ;-0,20   ; 0,10   ; 0,05   ; 0,07   ; 0,02   ;-0,00   ; 0,01   ; 0,01   ; 0,00   ; 1,78   ; 0,15   ;95%;1;0,5;2;15;0,15;4,12;0,28; 0,17   
100ml;Sunsilk creme; 0,18   ; 0,48   ;-0,00   ; 0,28   ; 0,20   ; 0,42   ; 0,00   ; 0,01   ; 0,01   ;;;; 1,57   ; 0,17   ;95%;1;0,5;2;15;0,10;2,23;0,25; 0,11   
75ml;Signal; 0,07   ; 0,22   ; 0,02   ;-0,02   ; 0,15   ; 0,10   ; 0,11   ; 0,08   ; 0,05   ; 0,16   ; 0,28   ; 0,21   ; 1,43   ; 0,12   ;95%;1;0,5;2;15;0,05;1,55;0,15; 0,06   
169ml;Dove deo;-0,00   ; 0,01   ; 0,18   ;-0,02   ; 0,10   ; 0,17   ; 0,09   ; 0,07   ; 0,10   ; 0,12   ; 0,15   ; 0,15   ; 1,11   ; 0,09   ;95%;1;0,5;2;15;0,03;1,49;0,11; 0,04   
Energise;Dove Crm; 0,06   ; 0,14   ; 0,08   ;-0,18   ; 0,07   ; 0,42   ; 0,05   ; 0,06   ; 0,04   ; 0,09   ; 0,09   ; 0,15   ; 1,09   ; 0,09   ;95%;1;0,5;2;15;0,07;3,01;0,15; 0,08   
12L;Bouillon;-0,00   ; 0,02   ; 0,09   ; 0,07   ; 0,19   ;; -     ; 0,00   ;;; 0,31   ; 0,14   ; 0,81   ; 0,09   ;95%;1;0,5;2;15;0,06;2,46;0,13; 0,06   
50ml;Dove deo; 0,06   ; 0,08   ; 0,09   ;-0,16   ; 0,04   ; 0,23   ; 0,08   ; 0,05   ; 0,04   ; 0,06   ; 0,04   ; 0,06   ; 0,68   ; 0,06   ;95%;1;0,5;2;15;0,04;3,16;0,09; 0,05   
